차종,"주행거리(1회충전시,km)"
2024 테슬라 모델S,514
2024 테슬라 모델3,435
2024 대창모터스 다니고 W,186
2024 대창모터스 다니고 T,175
2024 대창모터스 다니고 R,186
2024 대창모터스 다니고 L,200
2024 대창모터스 다니고 C,185
2024 코나 일렉트릭,364
2024 아이오닉 5,448
2024 GV60,409
2024 테슬라 모델Y,399
2024 봉고3 EV,211
2024 포터2 일렉트릭,211
2024 BMW iX,464
2024 메르세데스-EQ EQE,452
2024 BMW i7 M70,391
2024 BMW i7,446
2024 폴스타 2,414
2024 BMW iX M60,421
2024 BMW iX3,344
2024 BMW iX1,310
2024 BMW i5 M60,361
2024 BMW i5,384
2023 롤스로이스 스펙터,383
2024 토레스 EVX,422
2024 캠시스 CEVO-C SE,69
2024 아이오닉 6,445
2024 볼보 XC40 리차지,389
2024 레이 EV,205
2023 아이오닉 5 N,351
2024 볼보 C40 리차지,407
2023 아우디 Q4 스포트백 ...,409
2023 아우디 Q4 e-트론,411
2024 포르쉐 타이칸 크로스 ...,280
2024 포르쉐 타이칸 GTS,317
2024 포르쉐 타이칸,270
2024 일렉트리파이드 GV70,400
2024 BMW i4 M50,378
2024 BMW i4,429
2023 메르세데스-EQ EQE SUV,402
2023 마이브 M1,57
2024 넥쏘,609
2024 EV9,472
2023 폭스바겐 ID.4,421
2023 렉서스 RZ,377
2023 푸조 e-208,280
2023 메르세데스-AMG EQE,354
2023 BYD T4K,246
2024 니로 플러스,392
2024 니로 EV,401
2023 푸조 e-2008,260
2023 아우디 e-트론 S 스포트...,264
2023 아우디 e-트론 S,268
2023 메르세데스-EQ EQS SU...,453
2023 메르세데스-EQ EQA,378
2023 일렉트리파이드 G80,427
2023 아우디 e-트론 스포트백,262
2023 아우디 e-트론,250
2023 메르세데스-AMG EQS,404
2023 메르세데스-EQ EQB,313
2023 EV6 GT,342
2023 메르세데스-EQ EQS,466
2023 EV6,413
2022 SS모터스 젤라 EV,194
2022 코란도 이모션,307
2022 DS 3 크로스백 E-텐스,260
2022 아우디 e-트론 GT,362
2022 아우디 RS e-트론 GT,336
평균,344
