연,월,도,시군구,월별 수요량
2022,02,강원,강릉시,25262
2022,02,강원,고성군,5930
2022,02,강원,동해시,18122
2022,02,강원,삼척시,12619
2022,02,강원,속초시,23110
2022,02,강원,양구군,10616
2022,02,강원,양양군,13810
2022,02,강원,영월군,4245
2022,02,강원,원주시,69079
2022,02,강원,인제군,30435
2022,02,강원,정선군,10566
2022,02,강원,철원군,11073
2022,02,강원,춘천시,42097
2022,02,강원,태백시,6207
2022,02,강원,평창군,27670
2022,02,강원,홍천군,32878
2022,02,강원,화천군,5483
2022,02,강원,횡성군,23725
2022,02,경기,가평군,34910
2022,02,경기,고양시,37641
2022,02,경기,과천시,8166
2022,02,경기,광명시,44094
2022,02,경기,광주시,17990
2022,02,경기,구리시,12091
2022,02,경기,군포시,6081
2022,02,경기,김포시,20563
2022,02,경기,남양주시,41649
2022,02,경기,동두천시,1913
2022,02,경기,부천시,44070
2022,02,경기,성남시,52803
2022,02,경기,수원시,32419
2022,02,경기,시흥시,32400
2022,02,경기,안산시,77591
2022,02,경기,안성시,41210
2022,02,경기,안양시,13797
2022,02,경기,양주시,34170
2022,02,경기,양평군,15953
2022,02,경기,여주시,42906
2022,02,경기,연천군,1174
2022,02,경기,오산시,13747
2022,02,경기,용인시,14732
2022,02,경기,의왕시,6583
2022,02,경기,의정부시,5369
2022,02,경기,이천시,24500
2022,02,경기,파주시,13895
2022,02,경기,평택시,34818
2022,02,경기,포천시,15573
2022,02,경기,하남시,76514
2022,02,경기,화성시,31578
2022,02,경남,거제시,23298
2022,02,경남,거창군,22070
2022,02,경남,고성군,11466
2022,02,경남,김해시,71428
2022,02,경남,남해군,10074
2022,02,경남,밀양시,12389
2022,02,경남,사천시,25475
2022,02,경남,산청군,12590
2022,02,경남,양산시,64512
2022,02,경남,의령군,3452
2022,02,경남,진주시,40988
2022,02,경남,창녕군,13986
2022,02,경남,창원시,64319
2022,02,경남,통영시,11548
2022,02,경남,하동군,6033
2022,02,경남,함안군,27294
2022,02,경남,함양군,17656
2022,02,경남,합천군,3770
2022,02,경북,경산시,48003
2022,02,경북,경주시,87491
2022,02,경북,고령군,15135
2022,02,경북,구미시,85024
2022,02,경북,군위군,42933
2022,02,경북,김천시,38114
2022,02,경북,문경시,44258
2022,02,경북,봉화군,10805
2022,02,경북,상주시,20394
2022,02,경북,성주군,33691
2022,02,경북,안동시,35904
2022,02,경북,영덕군,13631
2022,02,경북,영양군,5360
2022,02,경북,영주시,12556
2022,02,경북,영천시,40962
2022,02,경북,예천군,12347
2022,02,경북,울릉군,0
2022,02,경북,울진군,14428
2022,02,경북,의성군,28221
2022,02,경북,청도군,24328
2022,02,경북,청송군,18996
2022,02,경북,칠곡군,67821
2022,02,경북,포항시,70000
2022,02,광주,광산구,38658
2022,02,광주,남구,101976
2022,02,광주,동구,11021
2022,02,광주,북구,21329
2022,02,광주,서구,24826
2022,02,대구,남구,14276
2022,02,대구,달서구,57352
2022,02,대구,달성군,67292
2022,02,대구,동구,17479
2022,02,대구,북구,73995
2022,02,대구,서구,2654
2022,02,대구,수성구,226052
2022,02,대구,중구,3742
2022,02,대전,대덕구,31164
2022,02,대전,동구,14266
2022,02,대전,서구,71311
2022,02,대전,유성구,52223
2022,02,대전,중구,22422
2022,02,부산,강서구,8724
2022,02,부산,금정구,7959
2022,02,부산,기장군,46227
2022,02,부산,남구,1541
2022,02,부산,동래구,6513
2022,02,부산,부산진구,167090
2022,02,부산,북구,7902
2022,02,부산,사상구,10004
2022,02,부산,사하구,6566
2022,02,부산,수영구,7968
2022,02,부산,연제구,10570
2022,02,부산,영도구,2820
2022,02,부산,중구,7352
2022,02,부산,해운대구,8777
2022,02,서울,강남구,36449
2022,02,서울,강동구,8432
2022,02,서울,강북구,4253
2022,02,서울,강서구,14793
2022,02,서울,관악구,29667
2022,02,서울,광진구,8444
2022,02,서울,구로구,5765
2022,02,서울,금천구,11496
2022,02,서울,노원구,21985
2022,02,서울,도봉구,14042
2022,02,서울,동대문구,7012
2022,02,서울,동작구,5942
2022,02,서울,마포구,35998
2022,02,서울,서대문구,8242
2022,02,서울,서초구,23648
2022,02,서울,성동구,42322
2022,02,서울,성북구,6411
2022,02,서울,송파구,21947
2022,02,서울,양천구,35012
2022,02,서울,영등포구,41833
2022,02,서울,용산구,7257
2022,02,서울,은평구,17517
2022,02,서울,종로구,14549
2022,02,서울,중구,6326
2022,02,서울,중랑구,12445
2022,02,세종,세종시,36486
2022,02,울산,남구,45141
2022,02,울산,동구,7103
2022,02,울산,북구,20937
2022,02,울산,울주군,24577
2022,02,울산,중구,15208
2022,02,인천,강화군,6211
2022,02,인천,계양구,12775
2022,02,인천,남동구,23417
2022,02,인천,동구,1662
2022,02,인천,미추홀구,67400
2022,02,인천,부평구,20453
2022,02,인천,서구,40674
2022,02,인천,연수구,26548
2022,02,인천,옹진군,554
2022,02,인천,중구,14949
2022,02,전남,강진군,7140
2022,02,전남,고흥군,14366
2022,02,전남,곡성군,12483
2022,02,전남,광양시,33407
2022,02,전남,구례군,2697
2022,02,전남,나주시,23857
2022,02,전남,담양군,4608
2022,02,전남,목포시,15209
2022,02,전남,무안군,20659
2022,02,전남,보성군,16250
2022,02,전남,순천시,72205
2022,02,전남,신안군,3436
2022,02,전남,여수시,42258
2022,02,전남,영광군,9968
2022,02,전남,영암군,11088
